Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Status of Case,Latitude/Longitude
849683,2143,2956,,W,SWAN,PL,,90026,03/10/0019,,145-5A205 434,GENERAL,East Los Angeles,O,"(34.09108, -118.26822)"
857036,2142,857,,N,VIRGIL,AVE,,90029,04/24/0019,,144B197  1378,GENERAL,Central,O,"(34.08689, -118.28704)"
867794,2143,1331,,N,SILVER LAKE,BLVD,,90026,06/28/0019,,142-5A205 347,GENERAL,East Los Angeles,O,"(34.08414, -118.27193)"
867990,2143,3306,,W,LONDON,ST,,90026,06/29/0019,,139-5A201  67,GENERAL,East Los Angeles,O,"(34.078, -118.28097)"
867991,2143,616,,N,MALTMAN,AVE,,90026,06/29/0019,,141A201   195,GENERAL,East Los Angeles,O,"(34.08061, -118.28277)"
872969,2143,2359,,W,LOMA VISTA,PL,,90039,07/31/0019,,147A209   340,GENERAL,East Los Angeles,O,"(34.0957, -118.25779)"
873193,2142,1275,,N,LYMAN,PL,,90029,08/01/0019,,147B197  1098,GENERAL,Central,O,"(34.09535, -118.28887)"
878136,2143,2157,,N,ECHO PARK,AVE,,90026,09/01/0019,,145-5A211 426,GENERAL,East Los Angeles,O,"(34.09094, -118.24963)"
885998,2143,3221,,W,SAN FERNANDO,ROAD,,90065,11/08/0019,,154-5A213 261,GENERAL,East Los Angeles,O,"(34.11679, -118.24745)"
888414,2142,4079,,W,BEVERLY,BLVD,,90004,12/05/0019,,138B197   323,GENERAL,Central,O,"(34.07644, -118.29797)"
889239,2143,2511,,W,BEVERLY,BLVD,,90026,12/14/0019,,136-5A203 114,GENERAL,Central,O,"(34.06902, -118.27523)"
891811,2143,2800,,W,BEVERLY,BLVD,,90057,01/25/0020,,138A203   482,GENERAL,Central,O,"(34.07025, -118.27894)"
892224,2142,3444,,W,1ST,ST,,90004,01/31/0020,,138B197   816,GENERAL,Central,O,"(34.07334, -118.28844)"
892913,2142,3430,,W,COUNCIL,ST,,90004,02/06/0020,,139-5A201 290,GENERAL,Central,O,"(34.07493, -118.28488)"
893090,2142,111,,S,HOOVER,ST,,90004,02/08/0020,,138A201   205,GENERAL,Central,O,"(34.07239, -118.2845)"
893958,2143,1418,,N,BENTON,WAY,,90026,02/14/0020,,142-5A205 388,GENERAL,East Los Angeles,O,"(34.08391, -118.26817)"
